ENGLISH,Key,ESPAÑOL
Multilingual professional,professional-info-1,Profesional multilingüe
Translator,professional-info-2,Traductora
Biologist,professional-info-3,Bióloga
Services,hamburger-menu-1,Servicios
Creative writing,hamburger-menu-2,Escritura creativa
Contact & CV,hamburger-menu-3,Contacto y CV
native,bubbles,nativo
The services I offer,services-section-title,Mis servicios
Non-AI creative writing,services-section-card-1,Escritura creativa sin IA
"As a former scientist, I carry out the research needed. I'm up for every challenge!",services-section-card-1-content,"En mi calidad de científica, investigo lo que sea necesario. ¡Me apunto al reto que sea!"
Non-AI translation,services-section-card-2,Traducción sin IA
From English & German into Spanish & French. No AI needed!,services-section-card-2-content,Del inglés y del alemán al español y al francés. ¡Sin IA!
And finally... Yes AI!,services-section-card-3,Y por último… ¡con IA!
A selection of my creative writing,creative-writing-section-title,Mi portafolio de escritura creativa
Contact,contact-section,Contacto
